Player_Number,Player,Season,Injury_Type,Start_Date,End_Date,Days_Out,Games_Missed,Games missed
22,Brennan Johnson,2024-25,Calf injury,1/16/25,2/13/25,29,7,52
17,Cristian Romero,2024-25,Ankle injury,11/3/24,11/8/24,6,2,1
17,Cristian Romero,2024-25,Toe injury,11/22/24,12/6/24,15,4,8
17,Cristian Romero,2024-25,Hamstring injury,12/8/24,3/3/25,86,21,9
21,Dejan Kulusevski,2024-25,Foot injury,3/3/25,4/10/25,39,7,3
13,Destiny Udogie,2024-25,Hamstring injury,9/29/24,9/30/24,2,1,14
13,Destiny Udogie,2024-25,Hamstring injury,12/29/24,2/10/25,44,12,15
24,Djed Spence,2024-25,Groin injury,10/21/24,11/8/24,19,5,2
24,Djed Spence,2024-25,Knock,1/20/25,2/1/25,13,3,2
19,Dominic Solanke,2024-25,Ankle injury,8/21/24,9/9/24,20,3,12
19,Dominic Solanke,2024-25,Ill,11/29/24,12/2/24,4,1,1
19,Dominic Solanke,2024-25,Knee injury,1/17/25,3/2/25,45,10,19
19,Dominic Solanke,2024-25,Thigh problems,5/2/25,5/5/25,4,1,13
10,James Maddison,2024-25,Calf strain,1/25/25,2/10/25,17,5,6
10,James Maddison,2024-25,Knee injury,5/3/25,6/23/25,52,6,5
6,João Palhinha,2024-25,Torn muscle bundle,11/13/24,1/24/25,73,14,12
6,João Palhinha,2024-25,Ill,2/6/25,2/16/25,11,3,1
4,Kevin Danso,2024-25,heart problems,8/31/24,10/15/24,46,9,7
4,Kevin Danso,2024-25,Thigh problems,3/12/25,4/14/25,34,8,21
4,Kevin Danso,2024-25,Thigh problems,6/9/25,7/19/25,41,1,4
15,Lucas Bergvall,2024-25,Ankle injury,4/30/25,6/9/25,41,7,2
37,Micky van de Ven,2024-25,Knee injury,8/29/24,9/9/24,12,2,1
37,Micky van de Ven,2024-25,Hamstring injury,10/30/24,12/7/24,39,10,10
37,Micky van de Ven,2024-25,Hamstring injury,12/8/24,1/27/25,51,14,1
37,Micky van de Ven,2024-25,Thigh problems,2/2/25,3/5/25,32,6,3
29,Pape Matar Sarr,2024-25,Knock,1/21/25,1/26/25,6,2,7
3,Radu Dragusin,2024-25,Cruciate ligament tear,1/30/25,12/30/25,335,52,7
9,Richarlison,2024-25,unknown injury,8/27/24,10/19/24,54,13,3
9,Richarlison,2024-25,Hamstring injury,11/3/24,1/14/25,73,19,5
9,Richarlison,2024-25,Groin injury,1/26/25,1/29/25,4,1,29
9,Richarlison,2024-25,Calf injury,2/6/25,4/3/25,57,12,9
30,Rodrigo Bentancur,2024-25,Head injury,8/20/24,8/31/24,12,1,2
30,Rodrigo Bentancur,2024-25,concussion,1/9/25,1/22/25,14,3,3
28,Wilson Odobert,2024-25,Hamstring injury,9/18/24,10/23/24,36,9,1
28,Wilson Odobert,2024-25,Hamstring injury,10/27/24,2/13/25,110,29,6
7,Xavi Simons,2024-25,Ankle injury,10/24/24,1/1/25,70,15,14
8,Yves Bissouma,2024-25,Groin problems,9/10/24,9/20/24,11,2,10
8,Yves Bissouma,2024-25,Knock,1/18/25,1/25/25,8,2,2