Player Number,Player,Nation,Pos,Age_Years,Age_Days,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
17,Cristian Romero,ar ARG,DF,27,156,6,6,540,6,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.2,2,28,0
20,Mohammed Kudus,gh GHA,FW,25,59,6,6,531,5.9,0,3,3,0,0,0,1,0,1,1,1.8,2.8,20,13,51
37,Micky van de Ven,nl NED,DF,24,164,6,6,530,5.9,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,4,18,2
23,Pedro Porro,es ESP,DF,26,17,6,5,458,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,13,24,10
9,Richarlison,br BRA,FW,28,143,6,5,438,4.9,3,1,4,3,0,0,1,0,1.6,1.6,0.8,2.4,7,9,17
6,João Palhinha,pt POR,MF,30,83,6,5,424,4.7,2,0,2,2,0,0,1,0,0.4,0.4,0,0.5,1,14,6
24,Djed Spence,eng ENG,DF,25,52,6,5,404,4.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,18,24,25
15,Lucas Bergvall,se SWE,MF,19,240,6,4,367,4.1,1,1,2,1,0,0,1,0,0.6,0.6,0.3,0.8,9,17,23
29,Pape Matar Sarr,sn SEN,MF,23,16,5,4,358,4,1,2,3,1,0,0,0,0,0.3,0.3,0.5,0.8,4,12,14
30,Rodrigo Bentancur,uy URU,MF,28,97,5,4,322,3.6,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,20,7
22,Brennan Johnson,wls WAL,FW,24,130,6,3,268,3,2,0,2,2,0,0,1,0,0.9,0.9,0.2,1.1,8,6,18
13,Destiny Udogie,it ITA,DF,22,306,4,2,212,2.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,13,16,24
7,Xavi Simons,nl NED,"FW,MF",22,162,3,2,178,2,0,1,1,0,0,0,1,0,0.3,0.3,0.5,0.8,12,13,14
28,Wilson Odobert,fr FRA,"FW,MF",20,306,6,1,153,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,12,15
11,Mathys Tel,fr FRA,"FW,DF",20,156,4,1,104,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,3,8
14,Archie Gray,eng ENG,MF,19,202,2,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
9,Dominic Solanke,eng ENG,FW,28,16,2,0,31,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,2
4,Kevin Danso,at AUT,DF,27,11,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0